code,initial_capital,cash,shares,marked_nav,pnl,fees,cash_dividends,build_count,add_count,reduce_count,exit_count,unfilled_count,max_drawdown_observed,fractional_share_approximation,name,last_price,end,first_date,last_date,feature_error,late_start,stale,rights_issue_present,action_status,action_count,unexplained_gap_count,final_cash,residual_value,liquidation_complete,average_exposure,train_nav,validation_nav
000001,1000000.0,854413.7593405198,0.0,854413.7593405198,-145586.24065948022,130295.05015949004,4665.200000000001,252,91,51,252,0,0.20269929377007398,False,平安银行,11.78,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,29,0,854413.7593405198,0.0,True,0.06695337000646151,1009906.9075051548,900213.076975277
000002,1000000.0,699542.3868214817,0.0,699542.3868214817,-300457.61317851825,94180.45217852504,0.0,238,100,56,238,2,0.39087896370946307,False,万  科Ａ,3.27,2026-09-08,2015-11-09,2026-09-08,,False,False,False,ok,33,0,699542.3868214817,0.0,True,0.05304264127527582,794551.7117040842,783547.7639040607
000003,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0,0,0,0,0,0.0,False,PT金田A,1.0,2026-09-08,,,,True,True,False,ok,3,0,1000000.0,0.0,True,0.0,1000000.0,1000000.0
000004,1000000.0,643119.6781640713,0.0,643119.6781640713,-356880.3218359287,80341.33233593502,0.0,276,179,106,276,31,0.38222888364752083,False,国华退,0.51,2026-09-08,2015-04-08,2026-07-13,,False,True,False,ok,7,1,643119.6781640713,0.0,True,0.05504444830598661,939294.9750102235,927382.6729311501
000005,1000000.0,490304.5429055937,128600.0,597042.5429055938,-402957.45709440624,59538.505094409986,0.0,147,56,33,146,5,0.448508447490043,False,ST星源,0.83,2026-09-08,2015-05-11,2024-03-05,,False,True,False,ok,8,0,490304.5429055937,106738.0,False,0.07974147028581596,607528.1610617127,576453.9746965837
000006,1000000.0,844583.9872661397,0.0,844583.9872661397,-155416.0127338603,73037.97573386502,5328.0,206,81,44,206,0,0.20354344110036984,False,深振业Ａ,7.36,2026-09-08,2015-12-03,2026-09-08,,False,False,False,ok,30,0,844583.9872661397,0.0,True,0.03484094983389333,978378.9532248621,950366.5990714928
000007,1000000.0,712929.0927825508,0.0,712929.0927825508,-287070.90721744916,69823.21721745496,0.0,248,199,97,248,17,0.3976497944437487,False,全新好,11.68,2026-09-08,2015-01-05,2026-09-08,,False,False,False,ok,8,0,712929.0927825508,0.0,True,0.0626292739646479,683577.3824329732,680931.4121165395
000008,1000000.0,825294.6208649193,0.0,825294.6208649193,-174705.37913508073,82353.79513508498,0.0,181,87,43,181,0,0.2004813767705122,False,神州高铁,2.54,2026-09-08,2016-02-15,2026-09-08,,False,False,False,ok,11,0,825294.6208649193,0.0,True,0.04421110067307252,870225.8729931829,852996.5946985988
000009,1000000.0,986293.9431134186,0.0,986293.9431134186,-13706.056886581355,54924.907386585044,2294.0,152,72,26,152,0,0.07899710622579449,False,中国宝安,7.13,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,23,0,986293.9431134186,0.0,True,0.025732523821961163,1028794.8276057316,1062705.976754363
000010,1000000.0,977177.4581281698,0.0,977177.4581281698,-22822.54187183024,87467.08437183489,0.0,240,126,65,240,10,0.14574321793304354,False,*ST美丽,1.78,2026-09-08,2016-05-23,2026-09-08,,False,False,False,ok,0,0,977177.4581281698,0.0,True,0.04377810523619257,1072619.8265024037,930818.0795227393
000011,1000000.0,805994.7015878992,0.0,805994.7015878992,-194005.29841210076,64064.86341210503,5208.0,192,70,49,192,1,0.20569677800039995,False,深物业A,9.49,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,17,0,805994.7015878992,0.0,True,0.0325011759497995,907558.4301700715,896585.0904824224
000012,1000000.0,791024.3104413373,0.0,791024.3104413373,-208975.6895586627,91348.63805866987,4822.999999999999,205,66,31,205,1,0.2621860487113705,False,南  玻Ａ,3.8,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,31,0,791024.3104413373,0.0,True,0.042245968257270755,1041598.9414389326,862652.575034304
000013,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0,0,0,0,0,0.0,False,*ST石化A,1.0,2026-09-08,,,,True,True,False,ok,5,0,1000000.0,0.0,True,0.0,1000000.0,1000000.0
000014,1000000.0,736187.5518620345,0.0,736187.5518620345,-263812.4481379655,63083.194137969986,523.0,216,111,55,216,8,0.28949324405853233,False,沙河股份,11.05,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,26,0,736187.5518620345,0.0,True,0.04026716410815005,751116.4493985717,792281.5126421329
000015,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0,0,0,0,0,0.0,False,PT中浩A,1.0,2026-09-08,,,,True,True,False,ok,1,0,1000000.0,0.0,True,0.0,1000000.0,1000000.0
000016,1000000.0,937018.9865332408,0.0,937018.9865332408,-62981.013466759236,84736.08896676505,0.0,234,105,71,234,3,0.18358203524527614,False,*ST康佳A,2.46,2026-09-08,2016-04-18,2026-09-03,,False,True,False,ok,25,0,937018.9865332408,0.0,True,0.041570561148997556,1037585.5068842935,1064089.2490741545
000017,1000000.0,746269.9001526848,0.0,746269.9001526848,-253730.09984731523,64965.79134731992,0.0,217,160,86,217,6,0.3033115101588098,False,深中华A,9.4,2026-09-08,2016-04-07,2026-09-08,,False,False,False,ok,4,0,746269.9001526848,0.0,True,0.04248529337055157,949425.3377982222,817983.8717487287
000018,1000000.0,755619.0230962713,0.0,755619.0230962713,-244380.97690372868,31936.999903729997,0.0,77,62,36,77,12,0.26365925600567075,False,神城A退,0.27,2026-09-08,2015-01-05,2020-01-06,,False,True,False,ok,7,0,755619.0230962713,0.0,True,0.02334328122047026,755619.0230962713,755619.0230962713
000019,1000000.0,896864.4536762054,0.0,896864.4536762054,-103135.54632379464,67044.75732380008,3876.0,183,71,41,183,1,0.19824744265988495,False,深粮控股,7.69,2026-09-08,2015-10-08,2026-09-08,,False,False,False,ok,19,0,896864.4536762054,0.0,True,0.034406449557494424,835725.4701226421,842872.229702403
000020,1000000.0,909067.8684835135,0.0,909067.8684835135,-90932.13151648652,66262.78501648994,0.0,202,92,65,202,8,0.17091302230925282,False,深华发Ａ,13.7,2026-09-08,2016-02-19,2026-09-08,,False,False,False,ok,6,0,909067.8684835135,0.0,True,0.04168257049248003,876023.0233979713,893783.5368255979
000021,1000000.0,986709.6057455544,0.0,986709.6057455544,-13290.394254445564,61162.92775444997,2992.0,189,55,22,189,2,0.12155466406224283,False,深科技,34.99,2026-09-08,2016-05-25,2026-09-08,,False,False,False,ok,33,0,986709.6057455544,0.0,True,0.0252102061948872,1029590.6696397623,1013640.5440538129
000023,1000000.0,489686.64926201804,50100.0,575858.649262018,-424141.35073798196,71500.60973798501,296.0,203,103,40,202,14,0.44735604021919684,False,*ST深天,1.72,2026-09-08,2015-01-05,2024-07-24,,False,True,False,ok,20,0,489686.64926201804,86172.0,False,0.07532578872298865,774382.7787441821,666188.2224975729
000024,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0,0,0,0,0,0.0,False,招商地产,1.0,2026-09-08,2015-01-05,2015-12-07,,False,True,False,ok,21,0,1000000.0,0.0,True,0.0,1000000.0,1000000.0
000025,1000000.0,676654.0084013637,0.0,676654.0084013637,-323345.99159863626,71511.24259863998,0.0,209,62,28,209,2,0.3642612208232886,False,特  力Ａ,15.59,2026-09-08,2016-05-12,2026-09-08,,False,False,False,ok,10,0,676654.0084013637,0.0,True,0.03656171624211449,844060.6815243213,762394.9671101128
000026,1000000.0,978282.101204635,0.0,978282.101204635,-21717.898795365007,59126.79309537002,19763.9798,152,57,39,152,2,0.08011026798420273,False,飞亚达,19.77,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,28,0,978282.101204635,0.0,True,0.028652713240147676,1000039.5920507024,1021297.5766872582
000027,1000000.0,784276.9978301256,0.0,784276.9978301256,-215723.00216987438,82220.96316987998,12810.0,165,53,22,165,2,0.22203241325601167,False,深圳能源,6.36,2026-09-08,2016-05-26,2026-09-08,,False,False,False,ok,32,0,784276.9978301256,0.0,True,0.03812915035113901,882236.0112537724,803892.821645299
000028,1000000.0,736629.2572051078,0.0,736629.2572051078,-263370.74279489217,91802.36979490006,14932.4,207,54,28,207,0,0.29177057205541707,False,国药一致,20.36,2026-09-08,2016-05-19,2026-09-08,,False,False,False,ok,26,0,736629.2572051078,0.0,True,0.0545449211348873,846298.111695374,798873.9087587813
000029,1000000.0,1039979.1242766337,0.0,1039979.1242766337,39979.124276633724,45145.46772336998,11131.3,145,67,30,145,2,0.11113571774363695,False,深深房Ａ,23.0,2026-09-08,2015-01-05,2026-09-08,,False,False,False,ok,10,0,1039979.1242766337,0.0,True,0.1500978977294095,940470.740548691,970943.0447136118
000030,1000000.0,751933.5506975466,0.0,751933.5506975466,-248066.44930245343,87700.55630246009,0.0,187,88,44,187,0,0.28817426889825903,False,富奥股份,4.08,2026-09-08,2016-05-17,2026-09-08,,False,False,False,ok,15,0,751933.5506975466,0.0,True,0.046091308215494696,860467.4167017438,823421.4171951597
000031,1000000.0,826357.5268754006,0.0,826357.5268754006,-173642.47312459943,66351.39162460504,2068.0000000000005,147,53,33,147,0,0.19096581487155595,False,大悦城,2.37,2026-09-08,2015-08-17,2026-09-08,,False,False,False,ok,22,0,826357.5268754006,0.0,True,0.03316437152367589,917455.8841434831,880287.3864191493
000032,1000000.0,929033.027718275,0.0,929033.027718275,-70966.97228172503,74104.47478172992,984.0,243,87,44,243,3,0.14105773014730658,False,深桑达Ａ,14.12,2026-09-08,2015-10-13,2026-09-08,,False,False,False,ok,30,0,929033.027718275,0.0,True,0.03799846156690108,912404.7083814734,986327.7780845235
