code,verified,ledger_events,account_sha256,ledger_sha256,input_sha256,feature_sha256,feature_metadata_sha256,action_sha256,resolved_actions_sha256,original_actions_sha256,action_source,action_status,source_action_count,ledger_action_count,action_evidence_count,action_evidence_sha256,action_snapshot_manifest_sha256,response_sha256,replay_cash,replay_shares,replay_fees,replay_cash_dividends,max_event_cash_error,max_event_share_error
000001,True,658,a39516882bbdca8cfabe261c8905ea34ac304d4b09177a68135958ae99a712ee,c798553d7d7a25d520e7650ca7c8544769cec994b8b29364e66c7c152576cdb0,c2562b14ede07616aec4ce4ec61d4d79a14c6c52d378205a772c0a60043b622b,a26abba14fa11364a86c8465a278d1b3dab9d31127758e0a5e6925d963ef3fdc,a1b47636d57eeaab04c07f9564def1c89a20c3413e5c656ec29a11aff9b21bf0,b13edf64241c94c3ea857d3aa0145301b51ea282eadd6b17a6727a04108dc671,403aceca6ad1e2f4779bb1dd4a9c36efd12a4199dfc0074b7b45eccdadc3a8bf,25e060a86d3c5d0751a6a8f2595f7227c769ef153cda18ec5916074af124bc85,sina_primary,ok,29,12,3,c54331158155ec6fdb4b93181b6918c1f3d7b5e9dcd5a34573c78d1cfb84f7c9,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,ffb86063c188e71ec694ece97e0726dc1e1fabbb6dd092ca923e53a2bd503d1c,854413.7593405198,0.0,130295.05015949004,4665.200000000001,0.0,0.0
000002,True,641,49b0b30a046191dd453e8a9fcdd2ad95689be8e3d0eeb2bfbe941dea5287935c,2e1fa4552743cb6a0fc80274e58431afa29bff587e05e50d400c82a0fe7ecde3,676c8b0b3398ddb4f6e2a25682ccf003ebbb6113330279625e7a05ee78ad39b4,541fca1cd3c05e0f9f2d460413dbcde3e643d34d68cb11ebc4f3f509f9aa7110,c60c6ab9ff307077d469be95ee2f580ffa4c9e8be3326a46e901e2899f80e4d9,2a7ba35bdaeb1de1abd0be2bb8405f1e74256275fc85efe950d8bb7c269880a5,a7f7e86901d9cb34dea83035a786270d5de5ce29bb1c24b998b00a8198a0e87c,e63938e548ff92a8f308f5c3e1231e3a4814a3277230285d6b258b2d66444b08,sina_primary,ok,33,7,3,a9c1d14e8567306cd89a9b14725dbd894ae22302b9018ea43be89aa1a8aef240,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,51fb9217c9ddef3f298d5b9527f6d2ab977060413f07c33e7a9c79741e3560e3,699542.3868214817,0.0,94180.45217852504,0.0,0.0,0.0
000003,True,0,8816344ff48b06360f40670b984950df0e58f7912aa15957082fd5b11c27320d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,9953a87a492fe42d068823f3c667680fb12afb79a03fc1787e16d2aa05c31562,ed10b6bda3170276d1db10e454b465aa442ce5e16f33e63f9be15576337f1799,e787c41cdf24570c8a905828e38ad98bce448011e6625d16f829d15340c0d0f9,9953a87a492fe42d068823f3c667680fb12afb79a03fc1787e16d2aa05c31562,c4a1a7e421d20d4adbb7aefd4acdb71a45efc7a58fddb5a9aee4281afd13c1ef,f29acc2499ab64c2951f596f018329bc99fffb18d4ff7e9f9d66f33fd29caf69,sina_primary,ok,3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,11feb17092bdaf3deb63e782e1e4225f7f1b61053cc3628dbe5676add76941ec,1000000.0,0.0,0.0,0.0,0.0,0.0
000004,True,868,ca0da0cf775650a0e4c3b1eab0906cee4791b6a36966e86e130ade1c8c154378,6b036ead1e09e35dcf6ba9069bbdf1c42057c4b14e525a938afe063c582d0a93,4f2be8f94d9217ce8a7af96f0f1bff3716e5e8f077311dff34a74482615d6786,62cf442c7380b4a7bb81c4fedc3c46c5e58989c2746e17840cbfc8256ee7db9e,45759120c732354e302ad243d0e66e6096c102380a99abe2105b71486161ccb2,0499a9f248c93fdf84fcc00644f0296280b99b27d0692d5a1fdd96a6b2ce9c0f,e78cc670857ff0717303ad2813adf79aadf1be8a4d4a89d7f266d913c304d904,94ee1c71493fcd0a2c0f04234385c648c7ff6a7a0b2d1a644848633bd3eb8fc2,sina_primary,ok,7,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,2bb27053560a9f6646c73b89b79a0b2af9d584057b89ed02f7080eab0879f961,643119.6781640713,0.0,80341.33233593502,0.0,0.0,0.0
000005,True,387,c19fa602e10d50f33b5ea170296092e281194756a4a952a2ebcef9ebafeb8df5,7a4ef1e4df7db33c639c28996bdd3825e2bb435fe85716571131a06dae029fe0,0ddcbb886cede3a286935a46c13ec2fe8c71a94f548ad9e1a4fc66d22911b4f6,dfd470435637c529ffac6145f1ff01801d41ffba2fa03e4c533d71a96c1c0f5c,aeb352071d24d4a0804b22bb07c1fe6291b8a968896bbe923131865bb23bfcd7,2f7d64d520f0c61015f51b83192c42298541357496f2879f8482da9affc823c2,21f50977b3e571ad35efe3432a8282fcd45a63610a5c750f760dc5a941957a21,13190ee9fc21106b1271a1768df0ef87c9fb1fa8e0b539b67165ddcd890116e4,sina_primary,ok,8,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,bd39e1afaa983f0ee45db435fd2535eeafb23e03662b800412bb3d2102df4b7b,490304.5429055937,128600.0,59538.505094409986,0.0,0.0,0.0
000006,True,544,37e73dc75a168f15882bfef48c14e4fb96c6181a372454d74bc636bdd3b4e1e6,af2cdae348802c374469c59e90709af21bcbf81be1dd2a4816440a10e0210add,47fed2d7d905d8ff59476db938c6149cc6dc7746c8747d45f2a113968c3a3604,0a477d56f0abb0f6e8a2d15d249860d6063f5538fc96aea4c03a5a8290036299,9c4b2b556656b249c5e5fd1d0c0b8b7414d732b0899c0300bd3fcad1722e379d,20280991469f524939b899f741fff5f6b0ec737dcdabfff0f54c76d124412fc1,cbd33d0a7fd7624e64b68e0aae517709d2142e9d8719eef140e2c97d2c4e7fd8,7ddcc859d2c94bb814672bd98ad818db5e924c1f1f5a7086cb30ce21a110d3e6,sina_primary,ok,30,7,3,30af1379e9fe70eb4b40548e18ea2a80547cc9941b090e614c738cbd43b12725,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,5edc9098385376a0bdef85e95e7eeb5a4f31b73c1d544980265bcaf5f99c90d4,844583.9872661397,0.0,73037.97573386502,5328.0,0.0,0.0
000007,True,810,a1c3d41259f7e46cfda4de2edab69c104db4c84080b38197ece8c7d6076da0f1,5d231d7ae2f4283e646681e1bc94cc2f266a0f23dd5ea2d4caa9f3c704656f51,91b388cc51e90cb08f7beb709db01d1fc276b6269de881d643a3a45d1992d577,7139fb2163f1dbc6aa52b29464ab87abf00b8b759c67d6a3993335d720aff849,1337d5bc5395aa8df2b494b678a03d4f1c713209ec25cb6af8fd8aa474d9f94f,128d9709707532806300bcd5812f327e7d7674225646ddacc8de61ce5b077d59,33a788f85e3e375c44c0dd851c860daae996869ec7dd3446348c38a78bb5c774,5788124c63fb94182681bf9bb21ff19b049a0ab12d23600a29cc56239f2dd5f7,sina_primary,ok,8,1,2,6d51fbb6896257c2f51c2178e196e4e8acab850fc370e93d3a3fcbe5d5efd0f7,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,7bc23e7935392b84d61c397e0b05cddfd7e3fe1a669ed288038db480726f465e,712929.0927825508,0.0,69823.21721745496,0.0,0.0,0.0
000008,True,496,cfad187205e0a56d847e2605b115a4634b710e6fb28caa9cf3e8ca4971e602e2,9cca1d6fa12f4267277986c66854bd00beea4017af8e6f33b70a7b0555d88a30,41498d4a873af73b83c46dd41d5ecdd0b76231ffbb5915ea3ade8a061658b639,e7a7514ba3eff75abebbe3ac0dba9dc09dd2b947ffee5c8c67d570646c2a1bb9,0cce5e2a1835a24495bdfa19fe1b1ee3f851a0d1968072701c8a0b4144f8e6a5,b646efa032ac78745d7de03243d0144004eefd63cc5bab92d1d55f389b8614c0,249c46b94fd6bed856cfa6c910b8da1f46a2364e23464aad57d69c4f7268545d,e56a831fa37d9dea3a4c86168c18fc3fc20d7220aa9e5f10e5e2935fa3d5c6a4,sina_primary,ok,11,4,2,2949a9bde5551c2a2606b8746ee6e75f4ce5168fbce77b86f7bf5760a6566917,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,4dc3bf7a4aa4b1bb40fd034ce032c2fd29e4550894c465f538793d1bebbca399,825294.6208649193,0.0,82353.79513508498,0.0,0.0,0.0
000009,True,412,2bc544f0eb530d59d45d8091965de793e33b8fbc6957a46d44b5127875995ecb,bdf152f1d4719d9b473f7f4fdecb4701aa8f38bba4b1d2ecbeb41c6da226400a,8064d3eaef4e6eedff46be1717bdc7309593a1d03165d62899e9a0c50b2912df,4d119f878bf926ee3f6dc103964096ce9ac20ddad66a01251708cc70a18000da,c46c0922ed64433b715311d20b4e49b27124bb3dda08c486f76f568066760770,9ed2b24bb13772a3a069a7c3bd819b18307fd9edad422f13f4eba5e65f30402b,9f92f4a2fc0c4a8cc1eb5e6c3ec27a569123e8616ffc7f1acb89cc9d4e31f94e,c5c16a4a6801feca2a066d1a24dc5406588234d679b5e6dd267e32a2005a3cc5,sina_primary,ok,23,10,1,828d45f6a9e403828671a834742a6b842ecac441fe124b20d459bd3f27039ec8,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,e4f6ce343b1a17c8d8a497377d0ee567bc12080994f1084b749fab8009317cad,986293.9431134186,0.0,54924.907386585044,2294.0,0.0,0.0
000010,True,681,ce3537baa7b43c2fafe2be63393dc14a336fb58089085a4e8b9596c1d77c7448,271b8c82c7a2c00d57553e784c70f11220a4efb7a09fb5e667ef0df9fb92d255,b5ef22bbefbb831800a2b94ec7548ed4089b5e4a65a372daac70d340af82218d,ef10dcd3f1ff088bc52e82f2265687151e5cdca096670f8b01a722789ad5aee6,477a8d48d5548010e10cefdd57774651abf3569e1925fee8a74b017ad74f584b,5de132fd98c20dc48d7d5967afec73110e7fac10d50ce13840d1f22abab975af,e443cdac0afd8d1a4b1824082572752cbff9d0693e1d6b2f5c67c5ba3d413799,75499bde383ee21e45f6fcda574447597721281ba0dbe96c430a881889c70180,eastmoney_datacenter,ok,0,0,1,e8ec6520a5451d6191c8e4bf0230a8879749c0108e48e7b5aef4e2b6b84f0a11,679e7e124892e4a5cbbcb377f937151358104e2ce5afd07c5e5c15af6efef605,32bc974a10090089d1140e9beba0afeba3c49d369b7477e424030d3d5824db16,977177.4581281698,0.0,87467.08437183489,0.0,0.0,0.0
