date,equity
2016-09-12,3330000000.0
2016-09-13,3330104990.448492
2016-09-14,3330011057.897737
2016-09-19,3330190626.817448
2016-09-20,3330203419.0934467
2016-09-21,3330278992.6523004
2016-09-22,3330400786.8347583
2016-09-23,3330369047.6687446
2016-09-26,3330134128.983057
2016-09-27,3330292980.979518
2016-09-28,3330299021.5534763
2016-09-29,3330271387.6456656
2016-09-30,3330298702.444267
2016-10-10,3330503349.7345033
2016-10-11,3330613223.415037
2016-10-12,3330625911.1709743
2016-10-13,3330632257.071882
2016-10-14,3330575406.1071143
2016-10-17,3330428746.0969176
2016-10-18,3330600470.037331
2016-10-19,3330559146.3462496
2016-10-20,3330584760.526267
2016-10-21,3330401270.780496
2016-10-24,3330681970.151909
2016-10-25,3330745925.7148414
2016-10-26,3330661616.381559
2016-10-27,3330548131.857617
2016-10-28,3330321043.814377
2016-10-31,3330385685.5663133
2016-11-01,3330635335.307831
2016-11-02,3330562592.58771
2016-11-03,3330620259.787445
2016-11-04,3330554203.832322
2016-11-07,3330576103.9505024
2016-11-08,3330747121.311478
2016-11-09,3330626287.4161625
2016-11-10,3330989801.2797384
2016-11-11,3331181248.6295757
2016-11-14,3331290158.6568694
2016-11-15,3331462158.5089884
2016-11-16,3331631723.556612
2016-11-17,3331693713.3482656
2016-11-18,3331548923.3409214
2016-11-21,3331520226.793239
2016-11-22,3331672147.650314
2016-11-23,3331572327.913436
2016-11-24,3331375892.9592667
2016-11-25,3331377189.2917995
2016-11-28,3331507049.850249
2016-11-29,3331167721.806363
2016-11-30,3330934019.5337224
2016-12-01,3331064735.7614856
2016-12-02,3330518125.6689982
2016-12-05,3330375530.385395
2016-12-06,3330477972.868044
2016-12-07,3330899017.745036
2016-12-08,3330665007.4181647
2016-12-09,3330623487.6209064
2016-12-12,3329190063.6101847
2016-12-13,3329402365.8146896
2016-12-14,3329265526.494254
2016-12-15,3329533865.142376
2016-12-16,3329873420.775161
2016-12-19,3329770464.472438
2016-12-20,3329670852.7115474
2016-12-21,3329818513.109274
2016-12-22,3329702725.097501
2016-12-23,3329414765.676005
2016-12-26,3329480281.6673055
2016-12-27,3329516194.3079805
2016-12-28,3329376155.9215083
2016-12-29,3329198052.913183
2016-12-30,3329176920.2464933
2017-01-03,3329492967.157031
2017-01-04,3329871604.5305476
2017-01-05,3329844846.355476
2017-01-06,3329588279.9512672
2017-01-09,3329806228.7964993
2017-01-10,3329775496.406686
2017-01-11,3329288860.616122
2017-01-12,3328849850.08868
2017-01-13,3328190585.840042
2017-01-16,3326400207.1193113
2017-01-17,3326493004.227458
2017-01-18,3326469902.796397
2017-01-19,3326297176.443377
2017-01-20,3326777245.2249665
2017-01-23,3327120156.0338597
2017-01-24,3327062587.403483
2017-01-25,3327070508.8208175
2017-01-26,3327271502.4187174
2017-02-03,3327217111.755195
2017-02-06,3327462070.799618
2017-02-07,3327632077.6422668
2017-02-08,3327744738.9064326
2017-02-09,3328047625.7394004
2017-02-10,3327920983.784958
2017-02-13,3328076217.9321437
2017-02-14,3327965729.0330887
2017-02-15,3327515081.8182583
2017-02-16,3327817448.5209136
2017-02-17,3327411211.0612435
2017-02-20,3327638855.124987
2017-02-21,3327917314.6895337
2017-02-22,3327982690.693993
2017-02-23,3327807558.067128
2017-02-24,3327840383.9750433
2017-02-27,3327625990.628411
2017-02-28,3327790203.097072
2017-03-01,3327865935.163367
2017-03-02,3327529972.725961
2017-03-03,3327645066.053841
2017-03-06,3327961443.2440705
2017-03-07,3328033605.532265
2017-03-08,3327887546.9046497
2017-03-09,3327580621.053716
2017-03-10,3327483258.262293
2017-03-13,3327591277.6605663
2017-03-14,3327508925.1128936
2017-03-15,3327399774.236878
2017-03-16,3327806403.8796425
2017-03-17,3327568259.1863637
2017-03-20,3327777922.482717
2017-03-21,3327733081.90767
2017-03-22,3327380472.842369
2017-03-23,3327347459.2033257
2017-03-24,3327289041.3442883
2017-03-27,3327099670.656411
2017-03-28,3326967968.6354237
2017-03-29,3326522306.170293
2017-03-30,3325360849.275941
2017-03-31,3325525258.121343
2017-04-05,3326597108.0939975
2017-04-06,3326716129.1977935
2017-04-07,3326770926.194752
2017-04-10,3326455397.861701
2017-04-11,3326684974.324008
2017-04-12,3326199247.439641
2017-04-13,3326350952.853071
2017-04-14,3325847756.772739
2017-04-17,3324719970.2594123
2017-04-18,3324170791.1809244
2017-04-19,3323134606.064599
2017-04-20,3322912794.311359
2017-04-21,3322636810.886679
2017-04-24,3321441403.6456366
2017-04-25,3321441014.082499
2017-04-26,3321468112.3291736
2017-04-27,3321565236.329813
2017-04-28,3321855237.256592
2017-05-02,3321793737.6219277
2017-05-03,3321669460.542467
2017-05-04,3321562269.386419
2017-05-05,3320973413.16282
2017-05-08,3319604935.928061
2017-05-09,3319587521.5263615
2017-05-10,3318559591.050116
2017-05-11,3318124868.186619
2017-05-12,3318033128.007898
2017-05-15,3318124068.8000464
2017-05-16,3318854381.97275
